biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SAMN19839058	SG8_juvenile_AmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG8_S101_L001_R1_001.fastq.gz	SG8_S101_L002_R1_001.fastq.gz				
SAMN19839057	SG80_juvenile_ModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG80_S107_L001_R1_001.fastq.gz	SG80_S107_L002_R1_001.fastq.gz				
SAMN19839056	SG7_juvenile_AmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG7_S93_L001_R1_001.fastq.gz	SG7_S93_L002_R1_001.fastq.gz				
SAMN19839055	SG78_juvenile_AmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG78_S91_L001_R1_001.fastq.gz	SG78_S91_L002_R1_001.fastq.gz				
SAMN19839054	SG108_juvenile_ModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG108_S183_L001_R1_001.fastq.gz	SG108_S183_L002_R1_001.fastq.gz				
SAMN19839052	SG46_juvenile_AmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG46_S119_L001_R1_001.fastq.gz	SG46_S119_L002_R1_001.fastq.gz				
SAMN19839051	SG14_juvenile_ModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG14_S54_L001_R1_001.fastq.gz	SG14_S54_L002_R1_001.fastq.gz				
SAMN19839050	SG13_juvenile_ModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG13_S46_L001_R1_001.fastq.gz	SG13_S46_L002_R1_001.fastq.gz				
SAMN19839049	SG4_juvenile_ModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG4_S69_L001_R1_001.fastq.gz	SG4_S69_L002_R1_001.fastq.gz				
SAMN19839048	SG64_juvenile_AmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG64_S74_L001_R1_001.fastq.gz	SG64_S74_L002_R1_001.fastq.gz				
SAMN19839047	SG1_juvenile_AmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG1_S45_L001_R1_001.fastq.gz	SG1_S45_L002_R1_001.fastq.gz				
SAMN19839046	SG79_juvenile_AmbSev_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG79_S99_L001_R1_001.fastq.gz	SG79_S99_L002_R1_001.fastq.gz				
SAMN19839045	SG131_juvenile_ModSev_TagSeq	TagSeq of juvenile Panopea generosa pH ModSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG131_S182_L001_R1_001.fastq.gz	SG131_S182_L002_R1_001.fastq.gz				
SAMN19839044	SG16_juvenile_ModSev_TagSeq	TagSeq of juvenile Panopea generosa pH ModSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG16_S70_L001_R1_001.fastq.gz	SG16_S70_L002_R1_001.fastq.gz				
SAMN19839043	SG11_juvenile_AmbSev_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG11_S124_L001_R1_001.fastq.gz	SG11_S124_L002_R1_001.fastq.gz				
SAMN19839042	SG82_juvenile_ModSev_TagSeq	TagSeq of juvenile Panopea generosa pH ModSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG82_S122_L001_R1_001.fastq.gz	SG82_S122_L002_R1_001.fastq.gz				
SAMN19839041	SG91_juvenile_AmbSev_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG91_S100_L001_R1_001.fastq.gz	SG91_S100_L002_R1_001.fastq.gz				
SAMN19839040	SG6_juvenile_ModSev_TagSeq	TagSeq of juvenile Panopea generosa pH ModSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG6_S85_L001_R1_001.fastq.gz	SG6_S85_L002_R1_001.fastq.gz				
SAMN19839039	SG27_juvenile_ModSev_TagSeq	TagSeq of juvenile Panopea generosa pH ModSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG27_S63_L001_R1_001.fastq.gz	SG27_S63_L002_R1_001.fastq.gz				
SAMN19839038	SG12_juvenile_AmbSev_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG12_S132_L001_R1_001.fastq.gz	SG12_S132_L002_R1_001.fastq.gz				
SAMN19839037	SG66_juvenile_AmbSev_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG66_S90_L001_R1_001.fastq.gz	SG66_S90_L002_R1_001.fastq.gz				
SAMN19839036	SG3_juvenile_AmbSev_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG3_S61_L001_R1_001.fastq.gz	SG3_S61_L002_R1_001.fastq.gz				
SAMN19839035	SG109_juvenile_ModSev_TagSeq	TagSeq of juvenile Panopea generosa pH ModSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG109_S141_L001_R1_001.fastq.gz	SG109_S141_L002_R1_001.fastq.gz				
SAMN19839034	SG107_juvenile_AmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG107_S180_L001_R1_001.fastq.gz	SG107_S180_L002_R1_001.fastq.gz				
SAMN19839033	SG65_juvenile_AmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG65_S82_L001_R1_001.fastq.gz	SG65_S82_L002_R1_001.fastq.gz				
SAMN19839032	SG101_juvenile_AmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG101_S156_L001_R1_001.fastq.gz	SG101_S156_L002_R1_001.fastq.gz				
SAMN19839031	SG5_juvenile_ModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG5_S77_L001_R1_001.fastq.gz	SG5_S77_L002_R1_001.fastq.gz				
SAMN19839030	SG81_juvenile_ModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG81_S114_L001_R1_001.fastq.gz	SG81_S114_L002_R1_001.fastq.gz				
SAMN19839029	SG118_juvenile_ModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG118_S177_L001_R1_001.fastq.gz	SG118_S177_L002_R1_001.fastq.gz				
SAMN19839028	SG9_juvenile_AmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG9_S108_L001_R1_001.fastq.gz	SG9_S108_L002_R1_001.fastq.gz				
SAMN19839027	SG10_juvenile_AmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG10_S116_L001_R1_001.fastq.gz	SG10_S116_L002_R1_001.fastq.gz				
SAMN19839026	SG2_juvenile_AmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG2_S53_L001_R1_001.fastq.gz	SG2_S53_L002_R1_001.fastq.gz				
SAMN19839025	SG102_juvenile_ModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG102_S160_L001_R1_001.fastq.gz	SG102_S160_L002_R1_001.fastq.gz				
SAMN19839024	SG93_juvenile_ModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG93_S115_L001_R1_001.fastq.gz	SG93_S115_L002_R1_001.fastq.gz				
SAMN19839023	SG15_juvenile_ModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG15_S62_L001_R1_001.fastq.gz	SG15_S62_L002_R1_001.fastq.gz				
SAMN19839022	SG39_juvenile_AmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG39_S64_L001_R1_001.fastq.gz	SG39_S64_L002_R1_001.fastq.gz				
SAMN19839021	SG23_juvenile_ModdAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModdAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG23_S125_L001_R1_001.fastq.gz	SG23_S125_L002_R1_001.fastq.gz				
SAMN19839020	SG127_juvenile_AmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG127_S166_L001_R1_001.fastq.gz	SG127_S166_L002_R1_001.fastq.gz				
SAMN19839019	SG18_juvenile_AmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG18_S86_L001_R1_001.fastq.gz	SG18_S86_L002_R1_001.fastq.gz				
SAMN19839018	SG24_juvenile_ModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG24_S133_L001_R1_001.fastq.gz	SG24_S133_L002_R1_001.fastq.gz				
SAMN19839017	SG130_juvenile_ModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG130_S178_L001_R1_001.fastq.gz	SG130_S178_L002_R1_001.fastq.gz				
SAMN19839016	SG99_juvenile_AmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG99_S148_L001_R1_001.fastq.gz	SG99_S148_L002_R1_001.fastq.gz				
SAMN19839015	SG139_juvenile_ModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG139_S167_L001_R1_001.fastq.gz	SG139_S167_L002_R1_001.fastq.gz				
SAMN19839014	SG42_juvenile_ModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG42_S88_L001_R1_001.fastq.gz	SG42_S88_L002_R1_001.fastq.gz				
SAMN19839013	SG59_juvenile_ModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG59_S128_L001_R1_001.fastq.gz	SG59_S128_L002_R1_001.fastq.gz				
SAMN19839012	SG138_juvenile_AmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG138_S163_L001_R1_001.fastq.gz	SG138_S163_L002_R1_001.fastq.gz				
SAMN19839011	SG17_juvenile_AmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG17_S78_L001_R1_001.fastq.gz	SG17_S78_L002_R1_001.fastq.gz				
SAMN19839010	SG100_juvenile_AmbSev_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG100_S152_L001_R1_001.fastq.gz	SG100_S152_L002_R1_001.fastq.gz				
SAMN19839009	SG63_juvenile_ModSev_TagSeq	TagSeq of juvenile Panopea generosa pH ModSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG63_S66_L001_R1_001.fastq.gz	SG63_S66_L002_R1_001.fastq.gz				
SAMN19839008	SG140_juvenile_ModSev_TagSeq	TagSeq of juvenile Panopea generosa pH ModSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG140_S171_L001_R1_001.fastq.gz	SG140_S171_L002_R1_001.fastq.gz				
SAMN19839007	SG22_juvenile_AmbSev_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG22_S117_L001_R1_001.fastq.gz	SG22_S117_L002_R1_001.fastq.gz				
SAMN19839006	SG26_juvenile_ModSev_TagSeq	TagSeq of juvenile Panopea generosa pH ModSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG26_S55_L001_R1_001.fastq.gz	SG26_S55_L002_R1_001.fastq.gz				
SAMN19839005	SG58_juvenile_AmbSev_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG58_S120_L001_R1_001.fastq.gz	SG58_S120_L002_R1_001.fastq.gz				
SAMN19839004	SG45_juvenile_ModSev_TagSeq	TagSeq of juvenile Panopea generosa pH ModSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG45_S111_L001_R1_001.fastq.gz	SG45_S111_L002_R1_001.fastq.gz				
SAMN19839003	SG61_juvenile_ModSev_TagSeq	TagSeq of juvenile Panopea generosa pH ModSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG61_S50_L001_R1_001.fastq.gz	SG61_S50_L002_R1_001.fastq.gz				
SAMN19839002	SG129_juvenile_AmbSev_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG129_S174_L001_R1_001.fastq.gz	SG129_S174_L002_R1_001.fastq.gz				
SAMN19839001	SG21_juvenile_AmbSev_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG21_S109_L001_R1_001.fastq.gz	SG21_S109_L002_R1_001.fastq.gz				
SAMN19839000	SG41_juvenile_AmbSev_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG41_S80_L001_R1_001.fastq.gz	SG41_S80_L002_R1_001.fastq.gz				
SAMN19838999	SG62_juvenile_ModSev_TagSeq	TagSeq of juvenile Panopea generosa pH ModSev	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG62_S58_L001_R1_001.fastq.gz	SG62_S58_L002_R1_001.fastq.gz				
SAMN19838998	SG20_juvenile_AmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG20_S102_L001_R1_001.fastq.gz	SG20_S102_L002_R1_001.fastq.gz				
SAMN19838997	SG57_juvenile_AmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG57_S112_L001_R1_001.fastq.gz	SG57_S112_L002_R1_001.fastq.gz				
SAMN19838996	SG19_juvenile_AmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG19_S94_L001_R1_001.fastq.gz	SG19_S94_L002_R1_001.fastq.gz				
SAMN19838995	SG77_juvenile_ModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG77_S83_L001_R1_001.fastq.gz	SG77_S83_L002_R1_001.fastq.gz				
SAMN19838994	SG44_juvenile_ModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG44_S104_L001_R1_001.fastq.gz	SG44_S104_L002_R1_001.fastq.gz				
